"id","pub_date","bandname_text"
214,"2019-01-28 04:20:00+00","Halfro"
215,"2019-01-28 04:20:00+00","Ham Mail"
216,"2019-01-28 04:20:00+00","Hazard Lizard"
217,"2019-01-28 04:20:00+00","Heirloom Pigs"
218,"2019-01-28 04:20:00+00","Hermaphrodesiac"
219,"2019-01-28 04:20:00+00","Hey Zeus"
220,"2019-01-28 04:20:00+00","High Steaks"
221,"2019-01-28 04:20:00+00","Hiking Urinal"
222,"2019-01-28 04:20:00+00","Hilaritive"
223,"2019-01-28 04:20:00+00","Hipnoceros"
224,"2019-01-28 04:20:00+00","How It's Used"
225,"2019-01-28 04:20:00+00","Hugh Jazz"
226,"2019-01-28 04:20:00+00","Human luggage"
227,"2019-01-28 04:20:00+00","Humuhumunukunukuapuaa"
228,"2019-01-28 04:20:00+00","Interceptor In Keef"
229,"2019-01-28 04:20:00+00","Interleopard"
230,"2019-01-28 04:20:00+00","Interleper"
231,"2019-01-28 04:20:00+00","Intermediate Herb"
232,"2019-01-28 04:20:00+00","International Jones"
233,"2019-01-28 04:20:00+00","Israeli Difficult"
234,"2019-01-28 04:20:00+00","Japanese Brown Jelly"
235,"2019-01-28 04:20:00+00","Jawbone 3000"
236,"2019-01-28 04:20:00+00","Jesus Donut"
237,"2019-01-28 04:20:00+00","Jumbo Jeff"
238,"2019-01-28 04:20:00+00","Jungle Maintenance"
239,"2019-01-28 04:20:00+00","Kaiser Chasm"
240,"2019-01-28 04:20:00+00","Karate Gun"
241,"2019-01-28 04:20:00+00","Karma Sutures"
242,"2019-01-28 04:20:00+00","Keanu Reaps"
243,"2019-01-28 04:20:00+00","Keanu Wreaths"
244,"2019-01-28 04:20:00+00","Kneel the Grass Bison"
245,"2019-01-28 04:20:00+00","Laptot"
246,"2019-01-28 04:20:00+00","Launch Your Lunch"
247,"2019-01-28 04:20:00+00","Leaning Up"
248,"2019-01-28 04:20:00+00","Led Zeppole"
249,"2019-01-28 04:20:00+00","Lemur Femurs"
250,"2019-01-28 04:20:00+00","Leroy Mouth Shut"
251,"2019-01-28 04:20:00+00","Less Than Yurt"
252,"2019-01-28 04:20:00+00","Lifegourd"
253,"2019-01-28 04:20:00+00","Lion the Tiger"
254,"2019-01-28 04:20:00+00","Little Riffies"
255,"2019-01-28 04:20:00+00","Little Yip"
256,"2019-01-28 04:20:00+00","Loose Canons"
257,"2019-01-28 04:20:00+00","Losing The Raccoon"
258,"2019-01-28 04:20:00+00","Louie News and the Hues"
259,"2019-01-28 04:20:00+00","Low Standards"
260,"2019-01-28 04:20:00+00","Lump Some"
261,"2019-01-28 04:20:00+00","Lunch Launch"
262,"2019-01-28 04:20:00+00","Machu Pikachu"
263,"2019-01-28 04:20:00+00","Major Danger"
264,"2019-01-28 04:20:00+00","Manateen"
265,"2019-01-28 04:20:00+00","Manhattan Schist"
266,"2019-01-28 04:20:00+00","Manuel Fade"
267,"2019-01-28 04:20:00+00","Manuel Fade"
268,"2019-01-28 04:20:00+00","Marriage Gallows"
269,"2019-01-28 04:20:00+00","MC YMCA"
270,"2019-01-28 04:20:00+00","Meatier Meteor"
271,"2019-01-28 04:20:00+00","Megalopolis"
272,"2019-01-28 04:20:00+00","Melon Collie"
273,"2019-01-28 04:20:00+00","Mental Market"
274,"2019-01-28 04:20:00+00","Meow Chow"
275,"2019-01-28 04:20:00+00","Metrognome"
276,"2019-01-28 04:20:00+00","Mice MRSA"
277,"2019-01-28 04:20:00+00","Mike’s Bison"
278,"2019-01-28 04:20:00+00","Mike’s Bison Punch-Out"
279,"2019-01-28 04:20:00+00","Milk Percolator"
280,"2019-01-28 04:20:00+00","Missile Sponge"
281,"2019-01-28 04:20:00+00","Mister Plow"
282,"2019-01-28 04:20:00+00","Mix Demotions"
283,"2019-01-28 04:20:00+00","Modem Operator"
284,"2019-01-28 04:20:00+00","Modem Operetta"
285,"2019-01-28 04:20:00+00","Moist Joist"
286,"2019-01-28 04:20:00+00","Mona Whiskey"
287,"2019-01-28 04:20:00+00","Mongolloyd"
288,"2019-01-28 04:20:00+00","Monkey to the Face"
289,"2019-01-28 04:20:00+00","Moonface Mess"
290,"2019-01-28 04:20:00+00","Moonshot"
291,"2019-01-28 04:20:00+00","Mountain Dude"
292,"2019-01-28 04:20:00+00","Mouse Honey"
293,"2019-01-28 04:20:00+00","Mrs. Delicious"
294,"2019-01-28 04:20:00+00","Mummra's Daughter"
295,"2019-01-28 04:20:00+00","Murderpig"
296,"2019-01-28 04:20:00+00","Mustard Hat"
297,"2019-01-28 04:20:00+00","Nature's Natural"
298,"2019-01-28 04:20:00+00","Neon Salmon"
299,"2019-01-28 04:20:00+00","Nice Plumage"
300,"2019-01-28 04:20:00+00","Ninjabread Man"
301,"2019-01-28 04:20:00+00","Ninjagogo"
302,"2019-01-28 04:20:00+00","Nipple Shoulder"
303,"2019-01-28 04:20:00+00","No Ninja No"
304,"2019-01-28 04:20:00+00","Nouveau Sheik"
305,"2019-01-28 04:20:00+00","Now Hiring"
306,"2019-01-28 04:20:00+00","O Pompeii"
307,"2019-01-28 04:20:00+00","Oeuf et Boeuf"
308,"2019-01-28 04:20:00+00","Opposite Reverse"
309,"2019-01-28 04:20:00+00","Oreo Speedwagon"
310,"2019-01-28 04:20:00+00","Origin Herb"
311,"2019-01-28 04:20:00+00","Padlock Tortilla"
312,"2019-01-28 04:20:00+00","Pain Thinner"
313,"2019-01-28 04:20:00+00","Paint Killer"
314,"2019-01-28 04:20:00+00","Pancake Emergency"
315,"2019-01-28 04:20:00+00","Parlais Vuvuzela"
316,"2019-01-28 04:20:00+00","Party Mule"
317,"2019-01-28 04:20:00+00","Passenger Jeff"
318,"2019-01-28 04:20:00+00","Pastor of Muppets"
319,"2019-01-28 04:20:00+00","Pavel Bluray"
320,"2019-01-28 04:20:00+00","Peace Day Resistance"
321,"2019-01-28 04:20:00+00","Pearl Wang"
322,"2019-01-28 04:20:00+00","Pegleg Antoine"
323,"2019-01-28 04:20:00+00","Penguin or Lose"
324,"2019-01-28 04:20:00+00","People Chips"
325,"2019-01-28 04:20:00+00","Playoff Jesus"
326,"2019-01-28 04:20:00+00","Pluto and the Food Pyramid"
327,"2019-01-28 04:20:00+00","Polar Vortex"
328,"2019-01-28 04:20:00+00","Pontius Pilates"
329,"2019-01-28 04:20:00+00","Pop Sickle"
330,"2019-01-28 04:20:00+00","Present Tents"
331,"2019-01-28 04:20:00+00","Prior Beef"
332,"2019-01-28 04:20:00+00","Prismatic Laser"
333,"2019-01-28 04:20:00+00","Propane Shrapnel"
334,"2019-01-28 04:20:00+00","Prostitots"
335,"2019-01-28 04:20:00+00","Psycholojesus"
336,"2019-01-28 04:20:00+00","Que Sirhan Sirhan"
337,"2019-01-28 04:20:00+00","Quetzalcoatl"
338,"2019-01-28 04:20:00+00","Quotatious"
339,"2019-01-28 04:20:00+00","Quotatious Pilot"
340,"2019-01-28 04:20:00+00","Reverse Ring Toss"
341,"2019-01-28 04:20:00+00","Ribbon Flavorbomb"
342,"2019-01-28 04:20:00+00","Rocktopus"
343,"2019-01-28 04:20:00+00","Rocktopussy"
344,"2019-01-28 04:20:00+00","Rusty Anchor"
345,"2019-01-28 04:20:00+00","Sacrelicious"
346,"2019-01-28 04:20:00+00","Safety Nap"
347,"2019-01-28 04:20:00+00","Sandcattle"
348,"2019-01-28 04:20:00+00","Satin Nightmare"
349,"2019-01-28 04:20:00+00","Sexiglass"
350,"2019-01-28 04:20:00+00","Sexual Magellan"
351,"2019-01-28 04:20:00+00","Sheepskin Garage"
352,"2019-01-28 04:20:00+00","Sherpa Regulator"
353,"2019-01-28 04:20:00+00","Shitaly"
354,"2019-01-28 04:20:00+00","Shoeless Ike"
355,"2019-01-28 04:20:00+00","Shulysses"
356,"2019-01-28 04:20:00+00","Sidecat"
357,"2019-01-28 04:20:00+00","Skim Matics"
358,"2019-01-28 04:20:00+00","Skin Milk"
359,"2019-01-28 04:20:00+00","Skullet"
360,"2019-01-28 04:20:00+00","Snake Fights and Beer Bites"
361,"2019-01-28 04:20:00+00","Snarecase"
363,"2019-01-28 04:20:00+00","Son of a Mummy"
364,"2019-01-28 04:20:00+00","Soylent Sheen"
365,"2019-01-28 04:20:00+00","Squat The Gnome"
437,"2019-01-29 04:19:48+00","Tofu Fighters"
2,"2018-12-29 03:52:47+00","Dr. Stonefax"
3,"2018-12-29 03:52:47+00","Pork Ranger"
4,"2018-12-29 03:52:47+00","National Pork Service"
5,"2018-12-29 03:52:47+00","Central Pork"
6,"2018-12-29 03:52:47+00","Theme Pork"
